Magnitude,Place,Longitude,Latitude
0.66,"6 km NNE of Lake Henshaw, CA",-116.745,33.2915
1.95,"11 km NE of Pāhala, Hawaii",-155.415328979492,19.2875003814697
0.98,"3 km SE of Ontario, CA",-117.605,34.0296667
0.55,"13 km NW of The Geysers, CA",-122.874168395996,38.8434982299805
0.18,"7 km WNW of Cobb, CA",-122.800331115723,38.8404998779297
1.09,"8 km NNW of The Geysers, CA",-122.817169189453,38.8341674804688
1.5,"24 km NW of Susitna, Alaska",-150.7747,61.7228
0.59,"6 km SW of Banning, CA",-116.9188333,33.8883333
0.9,"30 km ESE of Indian Springs, Nevada",-115.3736,36.4378
1.96000004,"3 km S of Pāhala, Hawaii",-155.484329223633,19.1736660003662
1.68,"10 km SW of Tres Pinos, CA",-121.386833190918,36.7125015258789
0.96,"3 km SSE of The Geysers, CA",-122.734336853027,38.759334564209
2.63,"1 km E of Isabela, Puerto Rico",-67.0118333333333,18.5021666666667
0.68,"9 km NW of The Geysers, CA",-122.844497680664,38.8230018615723
1.7,"65 km WNW of Happy Valley, Alaska",-152.8539,60.1343
1.33,"10 km NW of The Geysers, CA",-122.851501464844,38.8211669921875
1.4,"2 km NW of North Pole, Alaska",-147.3785,64.7677
1.8,"56 km NNE of Petersville, Alaska",-150.3079,62.9608
1.24,"1 km NE of Colton, CA",-117.3036667,34.0821667
1.2,"14 km NE of Yerington, Nevada",-119.0311,39.0695
1.9,"29 km WNW of Petersville, Alaska",-151.3169,62.5519
0.72,"9 km NW of The Geysers, CA",-122.835830688477,38.8361663818359
2.02,"6 km NW of San Francisco Zoo, CA",-122.558670043945,37.7568321228027
3.11,"74 km N of Brenas, Puerto Rico",-66.4358333333333,19.1366666666667
1.2,"66 km W of Tyonek, Alaska",-152.3664,61.0114
1.9,"47 km N of Valdez, Alaska",-146.4471,61.5552
0.76,"2 km ENE of The Geysers, CA",-122.734001159668,38.7848320007324
1.3,"9 km W of Harding-Birch Lakes, Alaska",-146.7954,64.3613
2.2,"89 km NW of Skwentna, Alaska",-152.6254,62.5502
2.07,"14 km W of Johannesburg, CA",-117.7910004,35.3499985
0.72,"12 km NW of The Geysers, CA",-122.879165649414,38.8271675109863
3.34,"91 km WNW of Petrolia, CA",-125.356163024902,40.4165000915527
0.7,"20 km NNE of Yerington, Nevada",-119.0854,39.1596
5.0,"8 km W of Pablo L. Sidar, Mexico",-92.357,15.8211
0.83,"5 km N of Banning, CA",-116.8803333,33.9696667
4.4,"28 km S of Metahāra, Ethiopia",39.9515,8.6436
1.61,"7 km NW of San Francisco Zoo, CA",-122.573333740234,37.7615013122559
2.66,"20 km WNW of Petrolia, CA",-124.519332885742,40.3489990234375
0.92,"10 km WSW of Salton City, CA",-116.0503333,33.2488333
4.9,"74 km ENE of Quorn, Australia",138.7164,-32.0027
0.84,"1 km SW of Anderson Springs, CA",-122.699165344238,38.7669982910156
1.0,"14 km W of Forsan, Texas",-101.515,32.112
1.5,"17 km WSW of Salamatof, Alaska",-151.5885,60.532
1.6,"6 km NNW of Willow, Alaska",-150.0803,61.8031
1.4,"8 km SSW of Harding-Birch Lakes, Alaska",-146.6439,64.301
4.3,"25 km SE of Metahāra, Ethiopia",40.0874,8.7459
2.0,"65 km NNE of Van Horn, Texas",-104.558,31.583
2.6,"65 km NNE of Van Horn, Texas",-104.55,31.577
2.0,"64 km NNE of Van Horn, Texas",-104.557,31.575
1.78,"9 km WSW of Akutan, Alaska",-165.920333333333,54.1135
1.8,"12 km ESE of Hawthorne, Nevada",-118.4844,38.4974
1.15,"5 km SE of Ontario, CA",-117.5881667,34.0211667
1.0,"8 km NNW of Julian, CA",-116.643,33.1463333
0.73,"2 km NNW of The Geysers, CA",-122.768333435059,38.7879981994629
0.62,"4 km NW of Cobb, CA",-122.764663696289,38.845832824707
5.2,"30 km N of Āwash, Ethiopia",40.1665,9.2627
1.6,"13 km W of Kalifornsky, Alaska",-151.541,60.4271
2.17,"14 km W of Pāhala, Hawaii",-155.612,19.208
4.5,"2 km NNW of Āwash, Ethiopia",40.1556,9.0078
-0.41,"69 km WNW of Tyonek, Alaska",-152.3385,61.292
1.04,"7 km SW of Idyllwild, CA",-116.7668333,33.6948333
0.86,"7 km NW of The Geysers, CA",-122.823501586914,38.8181648254395
1.7,"51 km SE of Denali National Park, Alaska",-150.8803,63.2768
4.6,"12 km NW of Āwash, Ethiopia",40.09,9.0623
0.72,"10 km NW of The Geysers, CA",-122.858497619629,38.8131675720215
1.6,"44 km NW of Toyah, Texas",-104.157,31.566
1.3,"32 km NE of Four Mile Road, Alaska",-148.7269,64.8435
1.9,"12 km SSW of Gateway, Alaska",-149.3011,61.4633
1.8,"6 km SW of Anchor Point, Alaska",-151.9217,59.7401
0.85,"3 km S of Mentone, CA",-117.1381667,34.0471667
